10, quicksort, 1.716, micro-seconds, 1
100, quicksort, 1.769, micro-seconds, 1
1000, quicksort, 1.771, micro-seconds, 1
10000, quicksort, 1.782, micro-seconds, 1
10, quicksort, 1.722, micro-seconds, 1
100, quicksort, 1.721, micro-seconds, 1
1000, quicksort, 1.726, micro-seconds, 1
10000, quicksort, 1.865, micro-seconds, 1
10, quicksort, 1.764, micro-seconds, 1
100, quicksort, 1.715, micro-seconds, 1
1000, quicksort, 1.738, micro-seconds, 1
10000, quicksort, 1.739, micro-seconds, 1
10, quicksort, 1.742, micro-seconds, 1
100, quicksort, 1.824, micro-seconds, 1
1000, quicksort, 1.846, micro-seconds, 1
10000, quicksort, 1.737, micro-seconds, 1
10, quicksort, 1.726, micro-seconds, 1
100, quicksort, 1.774, micro-seconds, 1
1000, quicksort, 1.838, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.694, micro-seconds, 1
100, quicksort, 1.74, micro-seconds, 1
1000, quicksort, 1.732, micro-seconds, 1
10000, quicksort, 1.716, micro-seconds, 1
10, quicksort, 1.732, micro-seconds, 1
100, quicksort, 1.974, micro-seconds, 1
1000, quicksort, 1.839, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.806, micro-seconds, 1
100, quicksort, 1.982, micro-seconds, 1
1000, quicksort, 1.924, micro-seconds, 1
10000, quicksort, 1.875, micro-seconds, 1
10, quicksort, 1.774, micro-seconds, 1
100, quicksort, 1.762, micro-seconds, 1
1000, quicksort, 1.752, micro-seconds, 1
10000, quicksort, 1.726, micro-seconds, 1
10, quicksort, 1.736, micro-seconds, 1
100, quicksort, 1.739, micro-seconds, 1
1000, quicksort, 1.757, micro-seconds, 1
10000, quicksort, 1.913, micro-seconds, 1
10, quicksort, 1.901, micro-seconds, 1
100, quicksort, 1.878, micro-seconds, 1
1000, quicksort, 1.88, micro-seconds, 1
10000, quicksort, 1.837, micro-seconds, 1
10, quicksort, 1.849, micro-seconds, 1
100, quicksort, 1.72, micro-seconds, 1
1000, quicksort, 1.839, micro-seconds, 1
10000, quicksort, 1.735, micro-seconds, 1
10, quicksort, 1.722, micro-seconds, 1
100, quicksort, 1.718, micro-seconds, 1
1000, quicksort, 1.744, micro-seconds, 1
10000, quicksort, 1.736, micro-seconds, 1
10, quicksort, 1.832, micro-seconds, 1
100, quicksort, 1.854, micro-seconds, 1
1000, quicksort, 1.738, micro-seconds, 1
10000, quicksort, 1.696, micro-seconds, 1
10, quicksort, 1.742, micro-seconds, 1
100, quicksort, 1.715, micro-seconds, 1
1000, quicksort, 1.72, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.954, micro-seconds, 1
100, quicksort, 1.734, micro-seconds, 1
1000, quicksort, 1.74, micro-seconds, 1
10000, quicksort, 1.742, micro-seconds, 1
10, quicksort, 1.732, micro-seconds, 1
100, quicksort, 1.715, micro-seconds, 1
1000, quicksort, 1.762, micro-seconds, 1
10000, quicksort, 1.734, micro-seconds, 1
10, quicksort, 1.716, micro-seconds, 1
100, quicksort, 1.714, micro-seconds, 1
1000, quicksort, 1.735, micro-seconds, 1
10000, quicksort, 1.738, micro-seconds, 1
10, quicksort, 1.716, micro-seconds, 1
100, quicksort, 1.987, micro-seconds, 1
1000, quicksort, 1.744, micro-seconds, 1
10000, quicksort, 1.77, micro-seconds, 1
10, quicksort, 1.989, micro-seconds, 1
100, quicksort, 1.76, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.768, micro-seconds, 1
10, quicksort, 1.724, micro-seconds, 1
100, quicksort, 1.74, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.74, micro-seconds, 1
10, quicksort, 1.742, micro-seconds, 1
100, quicksort, 1.766, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.739, micro-seconds, 1
10, quicksort, 1.741, micro-seconds, 1
100, quicksort, 1.738, micro-seconds, 1
1000, quicksort, 1.762, micro-seconds, 1
10000, quicksort, 1.992, micro-seconds, 1
10, quicksort, 1.742, micro-seconds, 1
100, quicksort, 1.803, micro-seconds, 1
1000, quicksort, 1.768, micro-seconds, 1
10000, quicksort, 1.744, micro-seconds, 1
10, quicksort, 1.742, micro-seconds, 1
100, quicksort, 1.818, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.808, micro-seconds, 1
10, quicksort, 1.746, micro-seconds, 1
100, quicksort, 1.768, micro-seconds, 1
1000, quicksort, 1.863, micro-seconds, 1
10000, quicksort, 1.768, micro-seconds, 1
10, quicksort, 1.74, micro-seconds, 1
100, quicksort, 1.809, micro-seconds, 1
1000, quicksort, 1.742, micro-seconds, 1
10000, quicksort, 1.77, micro-seconds, 1
10, quicksort, 1.704, micro-seconds, 1
100, quicksort, 1.859, micro-seconds, 1
1000, quicksort, 1.884, micro-seconds, 1
10000, quicksort, 1.877, micro-seconds, 1
10, quicksort, 1.807, micro-seconds, 1
100, quicksort, 1.696, micro-seconds, 1
