given min = 8 and max = 1.7e+308
predicted solutions are
predicted_i, predicted_A, predicted_B, predicted_gcd,predicted_modcalls
3.15862e+084,1.95213e+084,3.15862e+084,1,404
5.11075e+084,3.15862e+084,5.11075e+084,1,405
8.26937e+084,5.11075e+084,8.26937e+084,1,406
1.33801e+085,8.26937e+084,1.33801e+085,1,407
2.16495e+085,1.33801e+085,2.16495e+085,1,408
3.50296e+085,2.16495e+085,3.50296e+085,1,409
5.66791e+085,3.50296e+085,5.66791e+085,1,410
9.17087e+085,5.66791e+085,9.17087e+085,1,411
1.48388e+086,9.17087e+085,1.48388e+086,1,412
2.40096e+086,1.48388e+086,2.40096e+086,1,413
3.88484e+086,2.40096e+086,3.88484e+086,1,414
6.28581e+086,3.88484e+086,6.28581e+086,1,415
1.01706e+087,6.28581e+086,1.01706e+087,1,416
1.64565e+087,1.01706e+087,1.64565e+087,1,417
2.66271e+087,1.64565e+087,2.66271e+087,1,418
4.30836e+087,2.66271e+087,4.30836e+087,1,419
6.97107e+087,4.30836e+087,6.97107e+087,1,420
1.12794e+088,6.97107e+087,1.12794e+088,1,421
1.82505e+088,1.12794e+088,1.82505e+088,1,422
2.95299e+088,1.82505e+088,2.95299e+088,1,423
4.77804e+088,2.95299e+088,4.77804e+088,1,424
7.73103e+088,4.77804e+088,7.73103e+088,1,425
1.25091e+089,7.73103e+088,1.25091e+089,1,426
2.02401e+089,1.25091e+089,2.02401e+089,1,427
3.27492e+089,2.02401e+089,3.27492e+089,1,428
5.29893e+089,3.27492e+089,5.29893e+089,1,429
8.57384e+089,5.29893e+089,8.57384e+089,1,430
1.38728e+090,8.57384e+089,1.38728e+090,1,431
2.24466e+090,1.38728e+090,2.24466e+090,1,432
3.63194e+090,2.24466e+090,3.63194e+090,1,433
5.8766e+090,3.63194e+090,5.8766e+090,1,434
9.50854e+090,5.8766e+090,9.50854e+090,1,435
1.53851e+091,9.50854e+090,1.53851e+091,1,436
2.48937e+091,1.53851e+091,2.48937e+091,1,437
4.02788e+091,2.48937e+091,4.02788e+091,1,438
6.51725e+091,4.02788e+091,6.51725e+091,1,439
1.05451e+092,6.51725e+091,1.05451e+092,1,440
1.70624e+092,1.05451e+092,1.70624e+092,1,441
2.76075e+092,1.70624e+092,2.76075e+092,1,442
4.46699e+092,2.76075e+092,4.46699e+092,1,443
7.22774e+092,4.46699e+092,7.22774e+092,1,444
1.16947e+093,7.22774e+092,1.16947e+093,1,445
1.89225e+093,1.16947e+093,1.89225e+093,1,446
3.06172e+093,1.89225e+093,3.06172e+093,1,447
4.95397e+093,3.06172e+093,4.95397e+093,1,448
8.01569e+093,4.95397e+093,8.01569e+093,1,449
1.29697e+094,8.01569e+093,1.29697e+094,1,450
2.09853e+094,1.29697e+094,2.09853e+094,1,451
3.3955e+094,2.09853e+094,3.3955e+094,1,452
5.49403e+094,3.3955e+094,5.49403e+094,1,453
8.88953e+094,5.49403e+094,8.88953e+094,1,454
1.43836e+095,8.88953e+094,1.43836e+095,1,455
2.32731e+095,1.43836e+095,2.32731e+095,1,456
3.76567e+095,2.32731e+095,3.76567e+095,1,457
6.09298e+095,3.76567e+095,6.09298e+095,1,458
9.85864e+095,6.09298e+095,9.85864e+095,1,459
1.59516e+096,9.85864e+095,1.59516e+096,1,460
2.58103e+096,1.59516e+096,2.58103e+096,1,461
4.17619e+096,2.58103e+096,4.17619e+096,1,462
6.75721e+096,4.17619e+096,6.75721e+096,1,463
1.09334e+097,6.75721e+096,1.09334e+097,1,464
1.76906e+097,1.09334e+097,1.76906e+097,1,465
2.8624e+097,1.76906e+097,2.8624e+097,1,466
4.63146e+097,2.8624e+097,4.63146e+097,1,467
7.49387e+097,4.63146e+097,7.49387e+097,1,468
1.21253e+098,7.49387e+097,1.21253e+098,1,469
1.96192e+098,1.21253e+098,1.96192e+098,1,470
3.17445e+098,1.96192e+098,3.17445e+098,1,471
5.13637e+098,3.17445e+098,5.13637e+098,1,472
8.31082e+098,5.13637e+098,8.31082e+098,1,473
1.34472e+099,8.31082e+098,1.34472e+099,1,474
2.1758e+099,1.34472e+099,2.1758e+099,1,475
3.52052e+099,2.1758e+099,3.52052e+099,1,476
5.69632e+099,3.52052e+099,5.69632e+099,1,477
9.21685e+099,5.69632e+099,9.21685e+099,1,478
1.49132e+100,9.21685e+099,1.49132e+100,1,479
2.413e+100,1.49132e+100,2.413e+100,1,480
3.90432e+100,2.413e+100,3.90432e+100,1,481
6.31732e+100,3.90432e+100,6.31732e+100,1,482
1.02216e+101,6.31732e+100,1.02216e+101,1,483
1.6539e+101,1.02216e+101,1.6539e+101,1,484
2.67606e+101,1.6539e+101,2.67606e+101,1,485
4.32996e+101,2.67606e+101,4.32996e+101,1,486
7.00602e+101,4.32996e+101,7.00602e+101,1,487
1.1336e+102,7.00602e+101,1.1336e+102,1,488
1.8342e+102,1.1336e+102,1.8342e+102,1,489
2.9678e+102,1.8342e+102,2.9678e+102,1,490
4.80199e+102,2.9678e+102,4.80199e+102,1,491
7.76979e+102,4.80199e+102,7.76979e+102,1,492
1.25718e+103,7.76979e+102,1.25718e+103,1,493
2.03416e+103,1.25718e+103,2.03416e+103,1,494
3.29134e+103,2.03416e+103,3.29134e+103,1,495
5.32549e+103,3.29134e+103,5.32549e+103,1,496
8.61683e+103,5.32549e+103,8.61683e+103,1,497
1.39423e+104,8.61683e+103,1.39423e+104,1,498
2.25592e+104,1.39423e+104,2.25592e+104,1,499
3.65015e+104,2.25592e+104,3.65015e+104,1,500
5.90606e+104,3.65015e+104,5.90606e+104,1,501
9.55621e+104,5.90606e+104,9.55621e+104,1,502
1.54623e+105,9.55621e+104,1.54623e+105,1,503
2.50185e+105,1.54623e+105,2.50185e+105,1,504
4.04808e+105,2.50185e+105,4.04808e+105,1,505
6.54992e+105,4.04808e+105,6.54992e+105,1,506
